     91.40976988     427.23830902      80.37986005
    927.38691854     372.70064017     981.48234001
     37.60683957     594.25975876     125.60317159
    291.01751293     384.64166195     944.30781712
     58.15271617     601.45876864     717.52453908
    324.00242534     773.68862032     639.73888319
    773.73270680     823.70312457     985.41511734
     63.40224066     733.09117403     325.45530951
    287.36976873     840.82351664     216.19690825
    847.65536145     135.59739484     434.92835268
    591.93985192      12.50490640     723.76542246
    955.11754507     228.27738162     236.08304012
    831.86850829     230.95501551     214.01877478
    660.94567378     508.76264251     548.89521401
    169.96185489     543.65984515     323.15025494
    660.57998671     916.60726113      63.36200473
    491.10222631     281.86184228     367.83667252
    925.21350641     404.61836215     720.84418858
    991.44044239     621.43696687     213.00310558
    526.91834398     418.23782652     809.70268874
    871.87717849     513.93923653     840.44776058
     13.54779769     617.65879934     949.56076608
    139.51519418     776.74836096     215.39930963
    267.79558801     672.41245214     180.78209189
    186.33471764     387.43206225     742.63019242
    385.64407797     253.94707278     837.98943173
     76.31053407     420.81270945     405.51204207
    616.53987533     111.54116928     131.33975357
    566.63757216     673.08964472      88.37909395
    715.72040660     943.19553577     672.43211981
    869.58802253      55.31397930     657.95281746
    858.98686008     992.15728882     520.01841856
    662.05011665     207.54070869     290.04807458
    885.09033010     979.65940366     365.03286630
    713.17793136     190.23207537     151.52170050
    575.52116670     784.24880038     440.89101648
    251.98312488     185.68471362     570.67019379
    117.18641227     382.91042549      69.01998123
    165.89458155     568.91488916     752.54206581
    477.67537622     599.20777595      18.82447257
    551.14604279     727.59937343      88.45222466
     17.20085461     727.97622705       2.73511047
     10.12664196     708.11623135     636.49253484
    978.41467242     385.43236274     421.78956392
    112.87374427     974.50001723     195.32134253
    530.03300518     107.38392924     719.85482598
    198.47135814     211.75232074     378.06301069
    765.80395445     996.58863339     600.06019827
    368.58023301     961.72050292     230.49080662
    697.83583735     771.61260311     900.50020856
     79.03762910     969.00161401     707.00524687
    502.67401547     921.25465019     381.49239187
     83.35220445     902.39670868     686.55336447
    801.69878751     552.03101856      96.44807135
    526.90569848     216.88676449     105.02072661
     43.06739198     187.55325404     273.85870753
    424.20235110     867.06252483     136.69096405
    264.71810474     165.51665457      94.76351323
    743.29738447     704.07437752     981.56820889
    581.48280884     690.36690597     191.74027359
    758.26533686     442.17805399     985.32898211
    578.77818149     524.89637934     833.65703925
    802.98183616     412.33669660     838.41339538
    478.37462718     665.16145536      55.53711767
    599.14073097     637.18417130     493.02048678
    185.03227140     559.80743680     142.85970532
    624.33594867     695.49838346     933.44755049
    215.85083809     452.98101122     937.10515925
    977.94233587     926.41144662     696.94826784
    537.15582450     940.34150426     447.61581041
    833.86070972     708.34682170     694.31588319
    196.97768437     276.83904687     214.28927277
    438.74075843     541.13139377     367.04875173
    154.36708608     319.66214688     762.66917249
    251.85560214     915.92692673     499.35707240
     47.58114556     936.91292309     795.20564470
     42.35894561     493.45070426      21.27050935
    309.50030419     625.22038660     241.33084912
     78.92560683     237.70998802     455.84958534
    693.90857205     603.94114005     561.70269268
    521.37051873      59.11098796     290.15868310
    319.61304849     276.84244759     317.41507739
    317.69329278     982.78788989     609.53765437
    319.29323139     716.06531540      78.26020665
    463.98073596     921.88244542     425.98650578
    926.79885445     158.19346540     696.31346115
    114.52427745     683.59032119     837.38542946
    795.33509714     555.20260360     361.33991059
    674.30829055     585.90383762     197.18326358
