265.875	540.705	485.365
17.8543	60.0508	459.208
805.293	891.983	900.057
671.987	914.846	879.43
919.915	638.474	979.64
364.976	137.213	899.983
41.6026	150.113	636.205
343.222	134.271	11.2673
332.269	601.761	311.518
370.271	126.22	780.905
813.834	71.277	58.5593
101.53	685.076	727.692
793.759	128.387	245.571
222.803	258.355	6.34465
624.282	87.3379	48.4142
823.641	15.0326	912.517
106.038	323.862	45.6878
735.894	66.3885	956.61
803.297	503.623	222.07
238.857	681.737	715.496
149.493	432.826	66.9979
733.242	639.573	689.81
659.985	727.837	593.546
115.465	28.8652	372.547
721.468	466.644	829.026
784.739	997.167	26.2402
897.489	485.593	776.429
757.309	503.023	376.448
652.197	657.346	843.785
297.679	812.695	58.4384
981.385	451.236	8.52649
985.699	16.5873	381.226
865.302	534.581	252.944
917.778	764	740.969
219.732	291.614	222.449
918.705	557.515	89.6856
646.631	278.346	881.753
929.017	267.431	872.992
310.546	942.591	999.301
946.361	958.68	783.116
797.267	962.033	894.999
37.0998	963.622	679.48
776.326	366.053	189.299
256.351	820.327	678.099
442.779	422.175	189.635
802.344	33.1693	184.5
354.886	885.442	771.744
167.958	982.379	431.659
634.244	677.34	371.542
769.865	716.453	478.36
878.979	870.017	427.968
9.97642	277.172	246.124
575.825	264.286	783.971
152.611	165.615	714.608
752.382	527.14	742.661
234.723	714.375	757.679
163.844	459.304	104.804
75.1386	0.3106	504.362
617.217	503.639	398.592
598.818	804.065	340.542
208.342	611.183	687.808
995.874	825.579	536.995
846.997	139.75	622.613
545.976	2.95999	625.727
350.511	939.377	831.324
546.789	166.154	339.457
809.887	127.451	185.736
684.642	215.003	344.046
62.9437	791.252	105.097
499.808	146.127	447.472
43.9615	496.397	432.013
9.54479	843.425	870.433
120.935	856.707	960.714
453.713	282.298	28.781
338.305	506.033	27.3393
925.544	694.114	582.32
787.08	559.332	372.772
116.303	756.575	18.3725
320.774	220.454	743.841
398.616	124.093	970.22
818.699	567.952	698.617
222.397	612.992	278.023
349.627	547.927	813.679
862.109	598.957	300.025
